AGENT_CODE,GAM_CODE,AGENT_JOIN_YEAR,REGION_NAME,AFYP_Regular,AFYP_exclude_RTU,Cases,Average_Case_Size
1EI02987,1EI00061,2009,SOUTHERN REGION ,284585.64,281705.64,125,2276.68512
1EI03018,1EI00062,2009,KL REGION,61284.6,57924.6,26,2357.1
1EI03112,1EI00083,2009,SARAWAK REGION ,28003.56,25483.56,20,1400.178
1EI03238,1EI00102,2010,SARAWAK REGION ,6240,5880,3,2080
1EI03249,1EI00105,2009,NORTHERN REGION,449628,445908,120,3746.9
1EI03295,1EI00100,2010,SABAH REGION ,4800,4800,2,2400
1EI03544,1EI00062,2010,KL REGION,23201.64,20441.64,11,2109.24
1EI03790,1EI00047,1997,SARAWAK REGION ,10680,10680,4,2670
1EI03796,1EI00047,1996,SARAWAK REGION ,4200,3000,2,2100
1EI03797,1EI00045,1999,KL REGION,476945.29,419585.29,84,5677.920119
1EI03800,1EI00045,2002,KL REGION,28640,25640,8,3580
1EI03801,1EI00045,2003,KL REGION,465329,374729,84,5539.630952
1EI03812,1EI00047,1995,SARAWAK REGION ,38543.4,38543.4,21,1835.4
1EI03817,1EI00047,1997,SARAWAK REGION ,13320,12960,4,3330
1EI03868,1EI00047,2005,SARAWAK REGION ,40740.77,38940.77,12,3395.064167
1EI03967,1EI00079,2011,SABAH REGION ,57324,57204,24,2388.5
1EI04017,1EI00231,2011,SOUTHERN REGION ,2400,2400,2,1200
1EI04021,1EI00071,2011,KL REGION,10320,10320,4,2580
1EI04036,1EI00079,2011,SABAH REGION ,27908.04,26228.04,14,1993.431429
1EI04153,1EI00079,2012,SABAH REGION ,23880,23760,11,2170.909091
1EI04183,1EI00102,2012,SARAWAK REGION ,6974.09,6374.09,3,2324.696667
1EI04199,1EI04998,2022,KL REGION,2880,2400,2,1440
1EI04376,1EI00087,2013,SARAWAK REGION ,2400,2400,1,2400
1EI04534,1EI00133,2013,NORTHERN REGION,125652,125652,36,3490.333333
1EI04717,1EI00254,2013,NORTHERN REGION,22300,22060,7,3185.714286
1EI04741,1EI00087,2013,SARAWAK REGION ,13898,11738,6,2316.333333
1EI04863,1EI00061,2013,SOUTHERN REGION ,179001.48,179001.48,79,2265.841519
1EI04899,1EI00061,2013,SOUTHERN REGION ,71050,68890,35,2030
1EI04998,1EI04998,2000,TIED AGENCY - ETIQA LIFE INSURANCE,7618.68,7618.68,4,1904.67
1EI05015,1EI00098,2014,CENTRAL REGION,23928.96,23928.96,8,2991.12
1EI05052,1EI00105,2014,NORTHERN REGION,176352.6,175752.6,71,2483.839437
1EI05131,1EI00083,2014,SARAWAK REGION ,139380,91980,20,6969
1EI05283,1EI00133,2015,NORTHERN REGION,132740,127460,28,4740.714286
1EI05500,1EI00051,2016,NORTHERN REGION,12600,12120,5,2520
1EI05539,1EI00102,2016,SARAWAK REGION ,6367.56,6247.56,3,2122.52
1EI05549,1EI00087,2016,SARAWAK REGION ,11104.92,9904.92,5,2220.984
1EI05561,1EI00100,2016,SABAH REGION ,27240,27240,10,2724
1EI05608,1EI00061,2016,SOUTHERN REGION ,112298.64,112178.64,50,2245.9728
1EI05635,1EI05552,2017,KL REGION,15000,14760,9,1666.666667
1EI05659,1EI00231,2017,SOUTHERN REGION ,4320,4320,1,4320
1EI05670,1EI00260,2017,SARAWAK REGION ,7560,7320,2,3780
1EI05674,1EI00083,2017,SARAWAK REGION ,13320,11520,5,2664
1EI05676,1EI00102,2017,SARAWAK REGION ,9840,9000,3,3280
1EI05683,1EI00087,2017,SARAWAK REGION ,3000,1800,1,3000
1EI05693,1EI00083,2017,SARAWAK REGION ,51720.72,47280.72,21,2462.891429
1EI05696,1EI04998,2017,CENTRAL REGION,1065.48,1065.48,2,532.74
1EI05699,1EI04998,2017,CENTRAL REGION,5211.24,5211.24,6,868.54
1EI05710,1EI00083,2017,SARAWAK REGION ,32844.6,30564.6,12,2737.05
1EI05736,1EI00100,2017,SABAH REGION ,6720,6000,4,1680
1EI05758,1EI00079,2018,SABAH REGION ,2280,2280,1,2280
1EI05771,1EI00133,2018,NORTHERN REGION,57992,57992,12,4832.666667
1EI05784,1EI00231,2018,SOUTHERN REGION ,35040,35040,18,1946.666667
1EI05804,1EI00231,2018,SOUTHERN REGION ,138360,137160,66,2096.363636
1EI05807,1EI00083,2018,SARAWAK REGION ,40480.8,38080.8,14,2891.485714
1EI05836,1EI05836,2018,CENTRAL REGION,336000,6000,1,336000
1EI05858,1EI00061,2018,SOUTHERN REGION ,4560,4560,2,2280
1EI05920,1EI00228,2018,SOUTHERN REGION ,63720,58560,30,2124
1EI05929,1EI00105,2018,NORTHERN REGION,5400,5400,2,2700
1EI05930,1EI00105,2018,NORTHERN REGION,45966,44766,13,3535.846154
1EI05940,1EI00061,2018,SOUTHERN REGION ,77760,77760,39,1993.846154
1EI05963,1EI00083,2018,SARAWAK REGION ,5918.28,5918.28,3,1972.76
1EI05970,1EI00228,2018,SOUTHERN REGION ,14040,14040,10,1404
1EI05980,1EI00105,2018,NORTHERN REGION,62078.76,60878.76,20,3103.938
1EI05984,1EI00051,2018,NORTHERN REGION,41640,41640,16,2602.5
1EI05993,1EI00102,2019,SARAWAK REGION ,53773.44,50173.44,22,2444.247273
1EI05994,1EI06359,2019,ETIQA ENTREPRENEURSHIP PROGRAM-EEP,3000,3000,1,3000
1EI05996,1EI06359,2019,ETIQA ENTREPRENEURSHIP PROGRAM-EEP,95788,86548,30,3192.933333
1EI06020,1EI04998,2019,SABAH REGION ,20160,20160,7,2880
1EI06023,1EI00102,2019,SARAWAK REGION ,32099.88,31859.88,16,2006.2425
1EI06070,1EI05836,2019,CENTRAL REGION,492436.01,467236.01,47,10477.36191
1EI06099,1EI06199,2019,KL REGION,289120,268720,13,22240
1EI06109,1EI00105,2019,NORTHERN REGION,527224.6,515944.6,162,3254.47284
1EI06131,1EI00079,2019,SABAH REGION ,6604.81,6244.81,4,1651.2025
1EI06136,1EI00079,2019,SABAH REGION ,4200,4200,2,2100
1EI06140,1EI06199,2019,KL REGION,551151.24,522831.24,40,13778.781
1EI06141,1EI06199,2019,KL REGION,407826.12,346506.12,31,13155.68129
1EI06142,1EI06199,2019,KL REGION,180905.04,179105.04,22,8222.956364
1EI06143,1EI06199,2019,KL REGION,537266.04,536906.04,61,8807.64
1EI06147,1EI06199,2019,KL REGION,52932.48,52212.48,13,4071.729231
1EI06148,1EI06199,2019,KL REGION,2031549.48,1172589.48,131,15508.0113
1EI06154,1EI00087,2019,SARAWAK REGION ,5520,5160,2,2760
1EI06164,1EI00079,2019,SABAH REGION ,1501.08,1501.08,1,1501.08
1EI06165,1EI00079,2019,SABAH REGION ,122386.56,113746.56,51,2399.736471
1EI06175,1EI00102,2019,SARAWAK REGION ,17040,16560,7,2434.285714
1EI06182,1EI06359,2019,CENTRAL REGION,99780,99780,31,3218.709677
1EI06197,1EI06197,2019,EAST COAST REGION,391580,391580,33,11866.06061
1EI06202,1EI00079,2019,SABAH REGION ,5520,5520,3,1840
1EI06210,1EI00105,2019,NORTHERN REGION,19440,19440,8,2430
1EI06214,1EI05904,2019,SOUTHERN REGION ,104040,100080,11,9458.181818
1EI06215,1EI00231,2019,SOUTHERN REGION ,89753.16,88433.16,41,2189.101463
1EI06219,1EI05836,2019,CENTRAL REGION,15840,15840,5,3168
1EI06221,1EI06199,2019,KL REGION,0,0,1,0
1EI06225,1EI00079,2019,SABAH REGION ,25700.04,25460.04,15,1713.336
1EI06231,1EI06359,2019,CENTRAL REGION,5760,5760,3,1920
1EI06239,1EI05904,2019,SOUTHERN REGION ,12000,7200,1,12000
1EI06241,1EI05904,2020,SOUTHERN REGION ,109029.52,107229.52,16,6814.345
1EI06280,1EI05904,2019,SOUTHERN REGION ,1560,1560,1,1560
1EI06281,1EI05904,2019,NORTHERN REGION,23760,20640,5,4752
1EI06282,1EI05904,2019,SOUTHERN REGION ,22440,12840,4,5610
1EI06288,1EI05836,2019,CENTRAL REGION,13960,13960,3,4653.333333
1EI06291,1EI00102,2019,SARAWAK REGION ,8040,5400,3,2680
1EI06312,1EI00079,2019,SABAH REGION ,3240,3240,2,1620
